id,conversation_id,created_at,date,time,timezone,user_id,username,name,place,tweet,language,mentions,urls,photos,replies_count,retweets_count,likes_count,hashtags,cashtags,link,retweet,quote_url,video,thumbnail,near,geo,source,user_rt_id,user_rt,retweet_id,reply_to,retweet_date,translate,trans_src,trans_dest
1503281904862248960,1503281904862248960,2022-03-14 13:38:30 India Standard Time,2022-03-14,13:38:30,+0530,984057969141862400,wmweakleywalter,wmweakley@gmx.com,,Bitcoin booms as the rouble tumbles: What role is crypto playing in the Ukraine war?  https://t.co/SFX4kDzViG,en,[],['http://a.msn.com/01/en-za/AAUtK5E?ocid=st'],[],0,0,0,[],[],https://twitter.com/WmweakleyWalter/status/1503281904862248960,False,,0,,,,,,,,[],,,,
1503280316190019586,1503280314759749633,2022-03-14 13:32:11 India Standard Time,2022-03-14,13:32:11,+0530,893237533357871104,maxime_ctrr,Crypto Max ,,"although the war in Ukraine is a factor that could affect the timing. Bitfinex Securities is still waiting for the green light to apply for a license, a crucial step ahead of launching the first #bitcoin bond.",en,[],[],[],0,0,1,['bitcoin'],[],https://twitter.com/maxime_ctrr/status/1503280316190019586,False,,0,,,,,,,,[],,,,
1503279844825923584,1503279844825923584,2022-03-14 13:30:19 India Standard Time,2022-03-14,13:30:19,+0530,1496115487817998338,hujqpibfifkv3a2,Johnson,,We are working to make many children cross national borders. We are working to reach the target amount of $ 3000. Thank you for your cooperation in supporting the children. RT🙏🙏 #kief　#Ukraine　#Russia　#Bitcoin　#Ethereum　#Help　#war　#stopwar #nft,en,[],[],[],0,0,1,"['kief', 'ukraine', 'russia', 'bitcoin', 'ethereum', 'help', 'war', 'stopwar', 'nft']",[],https://twitter.com/HujqpibFIfkv3A2/status/1503279844825923584,False,,0,,,,,,,,[],,,,
1503278560806588417,1503278560806588417,2022-03-14 13:25:13 India Standard Time,2022-03-14,13:25:13,+0530,1427674291747893258,cryptofrolic,Crypto Frolic,,"Cryptocurrency Price Update: Bitcoin, Ether, XRP Drop Amid Russia-Ukraine War. Full List – News18  https://t.co/s657KkTbJS",en,[],['https://cryptofrolic.com/cryptocurrency-price-update-bitcoin-ether-xrp-drop-amid-russia-ukraine-war-full-list-news18'],[],0,0,1,[],[],https://twitter.com/CryptoFrolic/status/1503278560806588417,False,,0,,,,,,,,[],,,,
1503274492289863687,1503274492289863687,2022-03-14 13:09:03 India Standard Time,2022-03-14,13:09:03,+0530,1263898793012916224,marketscafe,Market’s Cafe,,"Cryptocurrency Price Update: Bitcoin, Ether, XRP Drop Amid Russia-Ukraine War. Full List Bitcoin price today stood at $38,503.02, down by 1.67 per cent in the last 24 hours on Monday. Ether Prices also fell slightly. #Business by #News18  https://t.co/MSAZe1VYj4",en,[],['https://www.news18.com/news/business/cryptocurrency/cryptocurrency-price-update-bitcoin-ether-xrp-drop-amid-russia-ukraine-war-full-list-4871804.html'],[],0,0,0,"['business', 'news18']",[],https://twitter.com/MarketsCafe/status/1503274492289863687,False,,0,,,,,,,,[],,,,
1503273916520976386,1503273916520976386,2022-03-14 13:06:45 India Standard Time,2022-03-14,13:06:45,+0530,804038272276135936,lifechance29,Jane V Carroll 🇺🇦,,Every Bitcoin helps: How the war in Ukraine became a turning point for Bitcoin  https://t.co/RfE3CXM6gf via @healthpodnet,en,"[{'screen_name': 'healthpodnet', 'name': 'health podcast network - tune in!', 'id': '1062370961239011328'}]",['https://www.numbrs.com/en-uk/every-bitcoin-helps-how-the-war-in-ukraine-became-a-turning-point-for-bitcoin/?theme=ios'],[],0,0,0,[],[],https://twitter.com/lifechance29/status/1503273916520976386,False,,0,,,,,,,,[],,,,
1503273127857512450,1503273127857512450,2022-03-14 13:03:37 India Standard Time,2022-03-14,13:03:37,+0530,1475304129236930563,meta_crunch,MetaCrunch,,El Salvador’s Bitcoin Bond Launch Faces Uncertainty Amid Ukraine War  https://t.co/Ts2uD3mPBH,en,[],['https://metacrunch.org/el-salvadors-bitcoin-bond-launch-faces-uncertainty-amid-ukraine-war/'],[],0,0,0,[],[],https://twitter.com/meta_crunch/status/1503273127857512450,False,,0,,,,,,,,[],,,,
1503271862658338817,1503271862658338817,2022-03-14 12:58:36 India Standard Time,2022-03-14,12:58:36,+0530,1112946154629554177,currencytimes,Currency Times,,"Ukraine’s NFT collection will be ‘like a museum of the war,’ minister says  https://t.co/34b3Ng5EZz #CurrencyTimes #Bitcoin #Solana  #nft #NFTart #Metaverse #larvaapes #opensea",en,[],['https://ift.tt/39JHCY0'],[],1,0,2,"['currencytimes', 'bitcoin', 'solana', 'nft', 'nftart', 'metaverse', 'larvaapes', 'opensea']",[],https://twitter.com/CurrencyTimes/status/1503271862658338817,False,,0,,,,,,,,[],,,,
1503268985630081029,1503268985630081029,2022-03-14 12:47:10 India Standard Time,2022-03-14,12:47:10,+0530,1375539549460439040,tell_crypto,CryptoTellAStory,,"Bitcoin, Ether, XRP Drop Amid Russia-Ukraine War. Full List  https://t.co/sjq3xpmK7o",en,[],['https://cryptotellastory.com/bitcoin-ether-xrp-drop-amid-russia-ukraine-war-full-list/'],[],0,0,0,[],[],https://twitter.com/tell_crypto/status/1503268985630081029,False,,0,,,,,,,,[],,,,
1503267334361919489,1503267334361919489,2022-03-14 12:40:36 India Standard Time,2022-03-14,12:40:36,+0530,1360389938341179396,urecomm,URECOMM,,"Bitcoin, Ether, XRP Drop Amid Russia-Ukraine War. Full List  https://t.co/rBzbWBTTPC",en,[],['https://urecomm.com/2022/03/14/bitcoin-ether-xrp-drop-amid-russia-ukraine-war-full-list/'],[],0,0,0,[],[],https://twitter.com/URECOMM/status/1503267334361919489,False,,0,,,,,,,,[],,,,
1503261973391237124,1503261973391237124,2022-03-14 12:19:18 India Standard Time,2022-03-14,12:19:18,+0530,1181590684362395650,additionalrules,crypto&NFT&Metaverse news,,cryptocurrency news.  Ukraine spent 0 million in crypto donations on these war supplies - TweakTown     https://t.co/GQDGOCgiMn  #crypto #cryptocurrency #BTC #bitcoin #money,en,[],['https://www.tweaktown.com/news/85045/ukraine-spent-100-million-in-crypto-donations-on-these-war-supplies/index.html'],[],0,0,1,"['crypto', 'cryptocurrency', 'btc', 'bitcoin', 'money']",[],https://twitter.com/additionalrules/status/1503261973391237124,False,,0,,,,,,,,[],,,,
